GroupId,UserId
5978461de4b09042a22e3713,59784520e4b08854724f0cc2
5978461de4b09042a22e3713,59784520e4b08854724f0cde
5978461de4b09042a22e3713,597b31eae4b07e7c3a5cc688
5978461de4b09042a22e3713,597b47d1e4b07e7c3a5cc6a6
5978461de4b09042a22e3713,597f2b4ce4b0528f623707e4
5978461de4b09042a22e3713,599c52e2e4b0e8911570e8ad
5978461de4b09042a22e3713,59a31b48e4b0e26fd287a601
5978461de4b09042a22e3713,59a56d05e4b061b4c832f15e
5978461de4b09042a22e3713,59a814bce4b047776586ea8d
5978461de4b09042a22e3713,59aaa8eae4b061b4c832f252
5978461de4b09042a22e3713,59d0e162e4b0325384997a4b
5978461de4b09042a22e3713,59e52dcee4b0d354fe7d389c
5978461de4b09042a22e3713,59ef2c60e4b01c8865f07a85
5978461de4b09042a22e3713,59f75710e4b00f48368d1b43
5978461de4b09042a22e3713,59a2c7e2e4b03378b78ec72e
5978461de4b09042a22e3713,59a4026de4b047776586ea11
5978461de4b09042a22e3713,59a4e1bae4b061b4c832f14f
5978461de4b09042a22e3713,59a65564e4b061b4c832f175
5978461de4b09042a22e3713,59a6de81e4b047776586ea77
5978461de4b09042a22e3713,59a76a2de4b061b4c832f1c7
5978461de4b09042a22e3713,59a843a4e4b061b4c832f1db
5978461de4b09042a22e3713,59ac43f1e4b02b3d41bd2b22
5978461de4b09042a22e3713,59784520e4b08854724f0cca
5978461de4b09042a22e3713,597acba6e4b02412a916fe46
5978461de4b09042a22e3713,59a450a0e4b061b4c832f13f
5978461de4b09042a22e3713,59a93fd4e4b061b4c832f1ff
5978461de4b09042a22e3713,59abe2ace4b036d2ada30015
5978461de4b09042a22e3713,59a99f8fe4b047776586ec0b
5978461de4b09042a22e3713,59ac063ae4b02b3d41bd2ae7
5978461de4b09042a22e3713,59784520e4b08854724f0cd2
5978461de4b09042a22e3713,597b2ffee4b07e7c3a5cc682
5978461de4b09042a22e3713,59784520e4b08854724f0cea
5978461de4b09042a22e3713,597dfc70e4b0528f623706f8
5978461de4b09042a22e3713,59784520e4b08854724f0cd6
5978461de4b09042a22e3713,59784520e4b08854724f0ce2
5978461de4b09042a22e3713,597c38f1e4b07e7c3a5cc72e
5978461de4b09042a22e3713,597ca650e4b0e227afd56c80
5978461de4b09042a22e3713,5a007d35e4b0b128fab75da8
5978461de4b09042a22e3713,5a0154dfe4b0b128fab766ab
5978461de4b09042a22e3713,5a02fdeee4b081f695024a69
5978461de4b09042a22e3713,5a046bb1e4b081f695024c2a
5978461de4b09042a22e3713,5a055348e4b0b128fab771b7
5978461de4b09042a22e3713,5a0515aae4b081f695024cf2
5978461de4b09042a22e3713,5a06b99ae4b00ef652e86cab
5978461de4b09042a22e3713,5a0982aee4b00ef652e86f8b
5978461de4b09042a22e3713,5a1876b0e4b07bbabf3837d1
5978461de4b09042a22e3713,5a1ac2dbe4b0c1bdbf4b428d
5978461de4b09042a22e3713,59784520e4b08854724f0c92
5978461de4b09042a22e3713,59f0d107e4b0fdc1ea74ae96
5978461de4b09042a22e3713,5a871720f890275aa2adeaf2
5978461de4b09042a22e3713,5a871723f890275aa2adeaf3
5978461de4b09042a22e3713,5aa6ba1af890275aa2ae186c
5978461de4b09042a22e3713,59b15a97e4b0add9657cc342
5978461de4b09042a22e3713,5ac33254ce4632eca38ac858
5978461de4b09042a22e3713,5ac33254ce4632eca38ac85b
5978461de4b09042a22e3713,5ac33255ce4632eca38ac85e
5978461de4b09042a22e3713,5ac5bcb8ce4632eca38adcca
5978461de4b09042a22e3713,5ac64059ce4632eca38adf18
